ファイル名,メーカー,商品名,ASIN,画像URL
Soundcore Nebula P1i_B0FY2XXWPJ.jpg,ANKER,Soundcore Nebula P1i,B0FY2XXWPJ,https://m.media-amazon.com/images/I/818G3iJr25L._AC_SL1500_.jpg
Nebula Capsule 3 Laser_B0BCTP8VJH.jpg,ANKER,Nebula Capsule 3 Laser,B0BCTP8VJH,https://m.media-amazon.com/images/I/61WggoQzblL._AC_SL1500_.jpg
Nebula Capsule 3_B0CJDV213W.jpg,ANKER,Nebula Capsule 3,B0CJDV213W,https://m.media-amazon.com/images/I/51fywU7gzvL._AC_SL1500_.jpg
Nebula Capsule Air_B0CXTB6CBR.jpg,ANKER,Nebula Capsule Air,B0CXTB6CBR,https://m.media-amazon.com/images/I/618J7T9p3HL._AC_SL1500_.jpg
Nebula Mars 3 Air_B0CJDV9F4K.jpg,ANKER,Nebula Mars 3 Air,B0CJDV9F4K,https://m.media-amazon.com/images/I/51eG6VzUf6L._AC_SL1500_.jpg
EF-61WA Lifestudio Pop (Amazon限定)_B0GNMBYZV5.jpg,EPSON,EF-61WA Lifestudio Pop (Amazon限定),B0GNMBYZV5,https://m.media-amazon.com/images/I/41vp8HogOlL._AC_SL1500_.jpg
DBOX02 Pro_B0F7RKFBFY.jpg,Dangbei,DBOX02 Pro,B0F7RKFBFY,https://m.media-amazon.com/images/I/61YGLpzxmkL._AC_SL1500_.jpg
DBOX02_B0D1TYZSXV.jpg,Dangbei,DBOX02,B0D1TYZSXV,https://m.media-amazon.com/images/I/61tRL8z15kL._AC_SL1500_.jpg
MP1 Max_B0F43FFW3J.jpg,Dangbei,MP1 Max,B0F43FFW3J,https://m.media-amazon.com/images/I/61zLr6Rcs3L._AC_SL1500_.jpg
DBOX01_B0C5H8VN7R.jpg,Dangbei,DBOX01,B0C5H8VN7R,https://m.media-amazon.com/images/I/61wpQsmGXEL._AC_SL1500_.jpg
Freedo_B0DM1QC37P.jpg,Dangbei,Freedo,B0DM1QC37P,https://m.media-amazon.com/images/I/51+Kute4MVL._AC_SL1500_.jpg
N2 mini_B0DZWGPN1L.jpg,Dangbei,N2 mini,B0DZWGPN1L,https://m.media-amazon.com/images/I/61VH5FdZ8dL._AC_SL1500_.jpg
Marca Max_B0DV49XDD8.jpg,Aladdin,Marca Max,B0DV49XDD8,https://m.media-amazon.com/images/I/811hLUyeWzL._AC_SL1500_.jpg
Marca_B0CL8PT7LJ.jpg,Aladdin,Marca,B0CL8PT7LJ,https://m.media-amazon.com/images/I/71NSkzYfu1L._AC_SL1500_.jpg
X3_B0GX5J97YV.jpg,Aladdin,X3,B0GX5J97YV,https://m.media-amazon.com/images/I/51kQRTJAfCL._AC_SL1500_.jpg
X2 Light_B0DCVH2LH6.jpg,Aladdin,X2 Light,B0DCVH2LH6,https://m.media-amazon.com/images/I/515VvQwhtuL._AC_SL1500_.jpg
X2 Plus 推奨テレビチューナーセット_B0BPBQWBPL.jpg,Aladdin,X2 Plus 推奨テレビチューナーセット,B0BPBQWBPL,https://m.media-amazon.com/images/I/41SBquQK2EL._AC_SL1500_.jpg
Poca Laser_B0FYDXN2WC.jpg,Aladdin,Poca Laser,B0FYDXN2WC,https://m.media-amazon.com/images/I/51OdDUmwRqL._AC_SL1500_.jpg
Poca_B0FYDLJBC4.jpg,Aladdin,Poca,B0FYDLJBC4,https://m.media-amazon.com/images/I/61RczJ2mruL._AC_SL1500_.jpg
TK705i_B0FS1MGCT6.jpg,BenQ,TK705i,B0FS1MGCT6,https://m.media-amazon.com/images/I/8108qX6z86L._AC_SL1500_.jpg
GP520_B0DT7X3FKD.jpg,BenQ,GP520,B0DT7X3FKD,https://m.media-amazon.com/images/I/813AQA+556L._AC_SL1500_.jpg
GV50_B0DJLVKKBC.jpg,BenQ,GV50,B0DJLVKKBC,https://m.media-amazon.com/images/I/71RvZuPvqFL._AC_SL1500_.jpg
GV32_B0GC4RKT94.jpg,BenQ,GV32,B0GC4RKT94,https://m.media-amazon.com/images/I/71hdZnx99sL._AC_SL1500_.jpg
MW826STH_B0B969XM54.jpg,BenQ,MW826STH,B0B969XM54,https://m.media-amazon.com/images/I/71ih3x4nhVL._AC_SL1500_.jpg
