No.,メーカー,商品名,ASIN,セール価格(税込),参考価格,割引率,セール種別,タイプ,OS,光源,解像度,輝度,スローレシオ,備考,商品URL
22,ANKER,Soundcore Nebula P1i,B0FY2XXWPJ,34990,49990,30.0%,セール(種別表記なし),ホーム(フリップ式スピーカー),Google TV,LED,フルHD (1920x1080),380 ANSIルーメン,,エントリーモデル,https://www.amazon.co.jp/dp/B0FY2XXWPJ
23,ANKER,Nebula Capsule 3 Laser,B0BCTP8VJH,74900,119900,37.5%,タイムセール,モバイル(バッテリー内蔵),Google TV,レーザー,フルHD (1920x1080),300 ANSIルーメン,約1.2:1,,https://www.amazon.co.jp/dp/B0BCTP8VJH
24,ANKER,Nebula Capsule 3,B0CJDV213W,48990,69990,30.0%,タイムセール,モバイル(バッテリー内蔵),Google TV,LED,フルHD (1920x1080),200 ANSIルーメン,約1.2:1,,https://www.amazon.co.jp/dp/B0CJDV213W
25,ANKER,Nebula Capsule Air,B0CXTB6CBR,39990,49990,20.0%,タイムセール,モバイル(バッテリー内蔵・世界最小級),Google TV,LED,HD (1280x720),150 ANSIルーメン,1.2:1,,https://www.amazon.co.jp/dp/B0CXTB6CBR
26,ANKER,Nebula Mars 3 Air,B0CJDV9F4K,62990,89990,30.0%,タイムセール,モバイル(バッテリー内蔵),Google TV,LED,フルHD (1920x1080),400 ANSIルーメン,1.2:1,,https://www.amazon.co.jp/dp/B0CJDV9F4K
27,EPSON,EF-61WA Lifestudio Pop (Amazon限定),B0GNMBYZV5,79980,90809,11.9%,プライムデーセール,小型ホーム,Google TV,3LED(3LCD方式),フルHD (1920x1080),700ルーメン,約1.2:1(100インチ@約2.67m),Leminoプレミアム1カ月無料視聴カード同梱,https://www.amazon.co.jp/dp/B0GNMBYZV5
28,Dangbei,DBOX02 Pro,B0F7RKFBFY,136900,179900,23.9%,プライムデーセール,ホーム(ジンバル一体型),Google TV,レーザー(LaserVibe),4K (3840x2160),2000 ISOルーメン,1.27:1,家電批評ベストバイ2026年1月/HDR10+,https://www.amazon.co.jp/dp/B0F7RKFBFY
29,Dangbei,DBOX02,B0D1TYZSXV,137501,188900,27.2%,プライムデーセール,ホーム(ジンバル一体型),Google TV,レーザー(ALPD),4K (3840x2160),2450 ISOルーメン,1.27:1,家電批評ベストバイ2024年10月/Netflix公式認定,https://www.amazon.co.jp/dp/B0D1TYZSXV
30,Dangbei,MP1 Max,B0F43FFW3J,180111,189801,5.1%,プライムデーセール,ホーム(ジンバル),Google TV,レーザー+LED(ハイブリッド),4K (3840x2160),3100 ISOルーメン,1.2:1,VGP2025企画賞,https://www.amazon.co.jp/dp/B0F43FFW3J
31,Dangbei,DBOX01,B0C5H8VN7R,76800,84800,9.4%,プライムデーセール,ホーム,独自OS(Netflix対応),レーザー(ALPD),フルHD (1920x1080),2100 ISOルーメン,1.27:1,VGP2024金賞,https://www.amazon.co.jp/dp/B0C5H8VN7R
32,Dangbei,Freedo,B0DM1QC37P,55900,68900,18.9%,プライムデーセール,モバイル(バッテリー内蔵・ジンバルスタンド),Google TV,LED,フルHD (1920x1080),450 ISOルーメン,約1.2:1,VGP2025金賞,https://www.amazon.co.jp/dp/B0DM1QC37P
33,Dangbei,N2 mini,B0DZWGPN1L,23990,29990,20.0%,セール(種別表記なし),小型(スタンド一体型),独自OS(Linuxベース・Netflix公式),LED,フルHD (1920x1080),,1.25:1,VGP2025コスパ大賞,https://www.amazon.co.jp/dp/B0DZWGPN1L
34,Aladdin,Marca Max,B0DV49XDD8,289000,379800,23.9%,プライムデーセール,超短焦点(UST),Aladdin OS(独自),レーザー,4K (3840x2160),2500 ANSIルーメン,0.177:1,壁から約17.8cmで100インチ/Dolby Vision・IMAX Enhanced,https://www.amazon.co.jp/dp/B0DV49XDD8
35,Aladdin,Marca,B0CL8PT7LJ,116800,149800,22.0%,プライムデーセール,超短焦点(UST),Aladdin OS(独自),レーザー+LED(デュアル光源),フルHD (1920x1080),1000 ANSIルーメン,0.21:1,harman/kardonスピーカー,https://www.amazon.co.jp/dp/B0CL8PT7LJ
36,Aladdin,X3,B0GX5J97YV,84900,99800,14.9%,プライムデーセール,照明一体型(シーリング),Aladdin OS(独自),LED,フルHD (1920x1080),700 ANSIルーメン,0.8:1(短焦点),照明+プロジェクター+スピーカー3in1,https://www.amazon.co.jp/dp/B0GX5J97YV
37,Aladdin,X2 Light,B0DCVH2LH6,82900,99800,16.9%,プライムデーセール,照明一体型(シーリング),Aladdin OS(独自),LED,フルHD (1920x1080),700 ANSIルーメン,約0.9:1(短焦点),,https://www.amazon.co.jp/dp/B0DCVH2LH6
38,Aladdin,X2 Plus 推奨テレビチューナーセット,B0BPBQWBPL,123338,148600,17.0%,プライムデーセール,照明一体型(シーリング・セット品),Aladdin OS(独自),LED,フルHD (1920x1080),900 ANSIルーメン,約0.8:1(短焦点),※本体単体のセール掲載なし,https://www.amazon.co.jp/dp/B0BPBQWBPL
39,Aladdin,Poca Laser,B0FYDXN2WC,76900,99900,23.0%,プライムデーセール,ポータブル,Aladdin OS(独自),3色レーザー,フルHD (1920x1080),550 ANSIルーメン,約1.2:1(100インチ@約2.66m),360°回転/最大200インチ,https://www.amazon.co.jp/dp/B0FYDXN2WC
40,Aladdin,Poca,B0FYDLJBC4,52900,69900,24.3%,セール(種別表記なし),ポータブル,Aladdin OS(独自),LED,フルHD (1920x1080),450 ANSIルーメン,約1.2:1,,https://www.amazon.co.jp/dp/B0FYDLJBC4
41,BenQ,TK705i,B0FS1MGCT6,194650,229000,15.0%,プライムデーセール,ホーム(4K),Google TV,4LED,4K (3840x2160),3000 ANSIルーメン,1.0〜1.3:1(ズーム),VGP2026金賞,https://www.amazon.co.jp/dp/B0FS1MGCT6
42,BenQ,GP520,B0DT7X3FKD,168300,198000,15.0%,プライムデーセール,ホーム(4K),Google TV,LED,4K (3840x2160),2600 ANSIルーメン,1.2:1,VGP2026受賞,https://www.amazon.co.jp/dp/B0DT7X3FKD
43,BenQ,GV50,B0DJLVKKBC,95840,119800,20.0%,プライムデーセール,天井投影モバイル(バッテリー内蔵),Google TV,レーザー,フルHD (1920x1080),500 ANSIルーメン,約1.2:1,VGP2026金賞,https://www.amazon.co.jp/dp/B0DJLVKKBC
44,BenQ,GV32,B0GC4RKT94,71840,89800,20.0%,プライムデーセール,天井投影モバイル,Google TV,LED,フルHD (1920x1080),500 ANSIルーメン,1.2:1,GV50の廉価版(バッテリー非搭載),https://www.amazon.co.jp/dp/B0GC4RKT94
45,BenQ,MW826STH,B0B969XM54,89820,99800,10.0%,セール(種別表記なし),短焦点(ビジネス向けDLP),なし,水銀ランプ,WXGA (1280x800),3500 ANSIルーメン,0.61:1,スマートOS非搭載,https://www.amazon.co.jp/dp/B0B969XM54
